0d	od	od	prep:gen	1	NCOMPOS	NON-SGJP	CW	ERR
0	O	O	interj	1	NCOMPOS	NON-SGJP	CW	ERR
10-ta	10-ta	dziesiąta	adj:sg:nom:f:pos	1	COMPOS-ndm	NON-SGJP	COMPD	CERR
10-tą	10-ta	dziesiątą	adj:sg:inst:f:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
10-tej	10-tej	dziesiątej	adj:sg:dat:f:pos	1	COMPOS-ndm	NON-SGJP	COMPD	CERR
1	1-kanałowy	jedno-	adj:pl:nom:n:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
126 p	126p	126p	subst:sg:nom:m2	1	NCOMPOS	NON-SGJP	PN	ERR
126 p	126p	126p	subst:sg:nom:n	1	NCOMPOS	NON-SGJP	PN	ERR
1299-tym	1299	1299	adj:sg:loc:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
12-tym	12	XII	adj:sg:loc:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
13	13-letni	trzynastoletni	adj:sg:nom:m1:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
13-go	13	13.	adj:sg:gen:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
15	15-latek	piętnasto-	subst:pl:gen:m1	1	NCOMPOS	NON-SGJP	COMPD	ERR
16	16-latek	szesnastoletni	subst:sg:gen:m1	1	NCOMPOS	NON-SGJP	COMPD	ERR
18-	18-letni	osiemnasto-	adj:sg:inst:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
185- osobową	185-osobowy	stuosiemdziesięciopięcioosobową	adj:sg:inst:f:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
18-ki	18-ka	osiemnastki	subst:sg:gen:f	1	COMPOS	NON-SGJP	COMPD	CERR
18-ty	18	18.	adj:sg:nom:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
18-ym	18	18.	adj:sg:loc:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
1km	kilometr	Kilometr	brev:npun	1	NCOMPOS	NON-SGJP	SYMB	ERR
2	2-centymetrowy	dwu-	adj:pl:acc:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
2	2-kanałowy	dwu-	adj:pl:nom:n:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
2-	2-latek	dwu-	subst:sg:gen:m1	1	NCOMPOS	NON-SGJP	COMPD	ERR
2	2-letni	dwu-	adj:sg:loc:f:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
2-	2-osobowy	dwu-	adj:pl:loc:f:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
23--letni	23-letni	dwudziestotrzyletni	adj:sg:nom:m1:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
261ha	hektar	261 ha	brev:npun	1	NCOMPOS	NON-SGJP	SYMB	ERR
2-óch	2	dwóch	num:pl:nom:m1:rec	1	NCOMPOS	NON-SGJP	COMPD	CERR
2-proc	2-procentowy	dwuprocentowej	brev:pun	1	NCOMPOS	NON-SGJP	COMPD	CERR
30m	metr	30 m	brev:npun	1	NCOMPOS	NON-SGJP	SYMB	ERR
30-tu	30	Trzydziestu	num:pl:acc:m1:congr	1	NCOMPOS	NON-SGJP	COMPD	CERR
3	3-centymetrowy	trzycentymetrowy	adj:pl:acc:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
3	3-krotnie	trzy-	adv:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
3	3-letni	trzy-	adj:sg:nom:f:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
34- -letnia	34-letni	trzydziestoczteroletnia	adj:sg:nom:f:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
40--letni	40--letni	czterdziestoletni	adj:sg:nom:m1:pos	1	COMPOS	NON-SGJP	COMPD	ERR
44m -7	44m-7	44m-7	subst:sg:nom:n	1	NCOMPOS	NON-SGJP	PN	ERR
4 - piętrowy	4-piętrowy	czteropiętrowy	adj:sg:acc:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
50-proc	50-procentowy	pięćdziesięcioprocentowy	brev:pun	1	NCOMPOS	NON-SGJP	COMPD	CERR
50-tych	50	50.	adj:pl:loc:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
50-tych	50	50.	adj:sg:gen:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
5	5-procentowy	pięcio-	adj:pl:gen:f:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
5—lampowy	5—lampowy	pięciolampowy	adj:sg:acc:m3:pos	1	COMPOS	NON-SGJP	COMPD	ERR
5-proc	5-procentowy	pięcioprocentowej	brev:pun	1	NCOMPOS	NON-SGJP	COMPD	CERR
5-ta	5	piątej	adj:sg:nom:f:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
6-ej	6	szóstej	adj:sg:gen:f:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
6.procentowy	sześcioprocentowy	sześcioprocentowy	adj:sg:acc:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
6 ABX2	6ABX2	6ABX2	subst:sg:nom:m3	1	NCOMPOS	NON-SGJP	PN	ERR
6 -letniego	6-letni	sześcioletniego	adj:sg:gen:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
6 - piętrowe	6-piętrowy	sześciopiętrowe	adj:pl:nom:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	ERR
70-te	70	70.	adj:pl:nom:m3:pos	1	NCOMPOS	NON-SGJP	COMPD	CERR
74-ech	74	74	num:pl:gen:m3:congr	1	NCOMPOS	NON-SGJP	COMPD	CERR
88-miu	88	88	num:pl:gen:m3:congr	1	NCOMPOS	NON-SGJP	COMPD	CERR
89-ciu	89	89	num:pl:gen:m3:congr	1	NCOMPOS	NON-SGJP	COMPD	CERR
Aaaa	a	A	interj	1	NCOMPOS	NON-SGJP	CW	DERR
Aaa	a	A	interj	2	NCOMPOS	NON-SGJP	CW	DERR
aaa	a	a	interj	8	NCOMPOS	NON-SGJP	CW	DERR
aa	a	a	interj	4	NCOMPOS	NON-SGJP	CW	DERR
Aaarrrgh	argh	Argh	interj	1	NCOMPOS	NON-SGJP	CW	DERR
a	à	à	prep:gen	1	NCOMPOS	NON-SGJP	EXT	CERR
A	à	À	prep:gen	2	NCOMPOS	NON-SGJP	EXT	CERR
`a	`a	à	qub	1	NCOMPOS	NON-SGJP	CW	ERR-TAGE
aatakuje	atakować	atakuje	fin:sg:ter:imperf	1	NCOMPOS	NON-SGJP	CW	ERR
aborcje	aborcja	aborcję	subst:sg:acc:f	1	NCOMPOS	NON-SGJP	CW	ERR
absorbcji	absorpcja	absorpcji	subst:sg:gen:f	1	NCOMPOS	NON-SGJP	CW	ERR
acha	aha	aha	qub	15	NCOMPOS	NON-SGJP	CW	ERR
ADJANl	Adjani	ADJANI	subst:sg:nom:f	1	NCOMPOS	NON-SGJP	PN	ERR
Adoracjii	adoracja	Adoracji	subst:sg:gen:f	1	NCOMPOS	NON-SGJP	PN	ERR
ADP-RYBOZYLACJA	ADP-rybolizacja	ADP-RYBOLIZACJA	subst:sg:nom:f	1	NCOMPOS	NON-SGJP	PN	ERR
aforys	aforysta	aforystą	subst:sg:inst:m1	1	NCOMPOS	NON-SGJP	CW	ERR
agrumentów	argument	argumentów	subst:pl:gen:m3	1	NCOMPOS	NON-SGJP	CW	ERR
ah	ach	ach	interj	1	NCOMPOS	NON-SGJP	CW	ERR
aktywność	aktywność	aktywnością	subst:sg:inst:f	1	COMPOS-ndm	NON-SGJP	CW	ERR
a'la	à la	à la	prep:nom	1	NCOMPOS	NON-SGJP	CW	ERR
ala	à la	à la	prep:nom	1	NCOMPOS	NON-SGJP	CW	ERR
albo wiem	albowiem	albowiem	comp	1	NCOMPOS	NON-SGJP	CW	ERR
Alej	Aleje	Alei	subst:pl:gen:f	1	NCOMPOS	NON-SGJP	PN	PLTAN
ale	nie	nie	qub	1	NCOMPOS	NON-SGJP	CW	ERR
Alexa	Alex	Aleksa	subst:sg:gen:m1	1	NCOMPOS	NON-SGJP	PN	ERR
amistrator	amistrator	administrator	subst:sg:nom:m1	1	COMPOS	NON-SGJP	CW	ERR-TAGE
a	na	na	prep:acc	1	NCOMPOS	NON-SGJP	CW	ERR
ander	Anders	Anders	subst:sg:nom:m1	1	NCOMPOS	NON-SGJP	PN	ERR
Andrzejam	Andrzej	Andrzejem	subst:sg:inst:m1	1	NCOMPOS	NON-SGJP	PN	ERR
Anę	Anna	Annę	subst:sg:acc:m1	1	NCOMPOS	NON-SGJP	PN	ERR
Annaliese	Anneliese	Anneliese	subst:sg:dat:f	1	NCOMPOS	NON-SGJP	PN	ERR
Annaliese	Anneliese	Anneliese	subst:sg:inst:f	1	NCOMPOS	NON-SGJP	PN	ERR
anty	anty	anty	qub	2	NCOMPOS	NON-SGJP	CW	TERR
anty-dopingowych	antydopingowy	antydopingowych	adj:pl:gen:f:pos	1	NCOMPOS	NON-SGJP	CW	ERR
antykoncepcje	antykoncepcja	antykoncepcja	subst:sg:nom:f	1	NCOMPOS	NON-SGJP	CW	ERR
anty katolickich	antykatolicki	antykatolickich	adj:pl:gen:f:pos	1	NCOMPOS	NON-SGJP	CW	ERR
ap	apteczka	apteczki	subst:sg:gen:f	1	NCOMPOS	NON-SGJP	CW	ERR
apartczyków	aparatczyk	aparatczyków	subst:pl:acc:m1	1	NCOMPOS	NON-SGJP	CW	ERR
apropos	apropos	à propos	prep:gen	1	NCOMPOS	NON-SGJP	CW	ERR
aquparku	aquapark	aquaparku	subst:sg:gen:m3	1	NCOMPOS	NON-SGJP	CW	ERR
arent	aren't	aren't	xxx	1	NCOMPOS	NON-SGJP	EXT	CERR
arę	parę	parę	num:pl:nom:m3:rec	1	NCOMPOS	NON-SGJP	CW	ERR
arfimatywnie	afirmatywnie	afirmatywnie	adv:pos	1	NCOMPOS	NON-SGJP	CW	ERR
argumentow	argument	argumentów	subst:pl:gen:m3	1	NCOMPOS	NON-SGJP	CW	ERR
