apetyczny	nieapetyczny
autentyczny	nieautentyczny
baba	chłop
babcia	dziadek
baran	owca
bezpłatny	płatny
brakować	wystarczać
brat	siostra
byk	krowa
błędny	poprawny
chory	zdrowy
chwiejny	stabilny
chłopak	dziewczyna
chłopiec	dziewczynka
ciągły	kropkowany
ciekawy	nieciekawy
ciocia	wujek
ciotka	wuj
córka	syn
czysty	nieczysty
członkowski	nieczłonkowski
darmowy	płatny
demokratyczny	niedemokratyczny
dodatni	niedodatni
dopuszczalny	niedopuszczalny
duchowny	laik
duchowny	świecki
dziadek	babcia
dziadek	babka
dziadunio	babunia
dziewczę	chłopię
dziewczyna	chłopak
dziewczynka	chłopiec
długość	szerokość
efektowny	nieefektowny
elastyczny	nieelastyczny
fachowy	niefachowy
giętki	niegiętki
gospodarczy	pozagospodarczy
gospodarczy	niegospodarczy
gotowy	niegotowy
gust	dyzgust
inteligentny	nieinteligentny
jawny	tajny
jednogłośny	niejednogłośny
jednolity	niejednolity
jednomyślność	niejednomyślność
jednomyślność	niejednomyślność
jednostajny	niejednostajny
jednoznaczny	niejednoznaczny
jednoznaczny	wieloznaczny
kobieta	mężczyzna
kocur	kocica
kogut	kura
kompletny	niekompletny
konstytucyjny	niekonstytucyjny
kozioł	koza
kozioł	siuta
krajowy	obcokrajowy
krajowy	zagraniczny
kułak	biedniak
kłopotliwy	niekłopotliwy
legalny	nielegalny
lekcja	pauza
lekcja	przerwa
lewy	prawy
mama	tata
mamusia	tatuś
materialny	niematerialny
matka	ojciec
mężczyzna	kobieta
młody	niemłody
neutralny	nieneutralny
nic	coś
nieczynny	czynny
niedoskonały	doskonały
nieefektowny	efektowny
nieelastyczny	elastyczny
niegiętki	giętki
niekompletny	kompletny
nieletni	dorosły
niemożliwy	możliwy
niemłody	młody
nienormalny	normalny
nieobcisły	obcisły
nieobrazowy	obrazowy
nieobuty	obuty
nieoryginalny	oryginalny
niepełnoletni	dorosły
niepełnoletni	pełnoletni
niepełnosprawny	sprawny
niepełnosprawny	pełnosprawny
niepełny	pełny
nieprawdopodobny	prawdopodobny
nieprawomocny	prawomocny
nieprzemijający	przemijający
niepłodny	płodny
nierealny	realny
nieskazitelny	skazitelny
niestacjonarny	stacjonarny
